# Log started: 2023-01-03 00:01:09 +0100
[2023-01-03 00:01:09] <%+Demonic_Vortex_Oni> sevenCool
[2023-01-03 09:24:36] <%+Niknar84> sevenCheer1111 TO THE MOON SEVEN!
[2023-01-03 09:24:45] <%Amylou14> Hey you owned up to it! and your Human its happens!
[2023-01-03 09:24:47] <%TidusZecht> HYPE TRAIN HYEPU!
[2023-01-03 09:24:50] <%Niknar84> aaand hype train
[2023-01-03 09:25:14] [Notification] Neobullseye gifted a Tier 1 sub to lunarcry! They have given 1446 Gift Subs in the channel!
[2023-01-03 09:25:39] <@%BGG02> I spoke to BGG too and he says he doesn't care
[2023-01-03 09:25:43] <%TidusZecht> OHWAIT! to survive the trip seven's gonna need something
[2023-01-03 09:25:47] <%Amylou14> Neither did any of us Seven
[2023-01-03 09:25:49] <%wee_wah> I heard otherwise @BGG02
[2023-01-03 09:25:50] <@%BGG02> FF13 gets complicated with the rule sometimes and we forget
[2023-01-03 09:25:50] <%Megalith> Choo Choo hype train
[2023-01-03 09:25:59] [Notification] TidusZecht gifted a Tier 1 sub to spacesuit13! They have given 57 Gift Subs in the channel!
[2023-01-03 09:25:59] [Notification] ericpgs2 subscribed at Tier 1. They've subscribed for 18 months!
[2023-01-03 09:26:01] <%TidusZecht> here, a spacesuit to wear on your trip
[2023-01-03 09:26:04] VIEWERS: 132
[2023-01-03 09:26:41] [Usernotice] Xanster is paying forward the Gift they got from slowbartian to LunarEngineer!
[2023-01-03 09:26:41] [Notification] Xanster gifted a Tier 1 sub to LunarEngineer! They have given 6 Gift Subs in the channel!
[2023-01-03 09:26:49] <%uzumakimateto> !dig
[2023-01-03 09:26:50] <@%Amalthes>* dug a hole!
[2023-01-03 09:26:51] <%Megalith> mine is hidden? fair enough
[2023-01-03 09:26:52] <@%Amalthes>* found W-Summon Materia FrankerZ !
[2023-01-03 09:27:05] <%TidusZecht> we're getting seven geared up for his trip to the moon bggHaa
[2023-01-03 09:27:10] <%+WayneG947> we are slowly getting the full crew
[2023-01-03 09:27:16] <%phxforce> poggles
[2023-01-03 09:27:18] <Amilas> amilasWave morning everyone!!!
[2023-01-03 09:27:26] [Notification] Neobullseye gifted a Tier 1 sub to Zeromus3! They have given 1447 Gift Subs in the channel!
[2023-01-03 09:27:28] BITS: wee_wah (10034)
